bbox,author,author_id,img_name,weight,cluster,category,sam_conf
"[2944, 1229, 3263, 1812]",dev,2,%5B48393_42662%5D%5B48552_42808%5D%5B2%5D%5B0.2980000078678131%5D.jpg,,,其他正常细胞,
"[2928, 2079, 3127, 2160]",dev,2,%5B48393_42662%5D%5B48552_42808%5D%5B2%5D%5B0.2980000078678131%5D.jpg,,,不明分类,
"[1787, 899, 2075, 1232]",dev,2,%5B48393_42662%5D%5B48552_42808%5D%5B2%5D%5B0.2980000078678131%5D.jpg,,,宫颈管细胞,
"[1067, 1221, 1563, 1671]",dev,2,%5B4840_37321%5D%5B5150_37520%5D%5B0%5D%5B0.3790000081062317%5D.jpg,,,其他正常细胞,
"[2661, 743, 3280, 1514]",dev,2,%5B4840_37321%5D%5B5150_37520%5D%5B0%5D%5B0.3790000081062317%5D.jpg,,,其他正常细胞,
"[3162, 372, 3528, 927]",dev,2,%5B4840_37321%5D%5B5150_37520%5D%5B0%5D%5B0.3790000081062317%5D.jpg,,,其他正常细胞,
"[3525, 1085, 3840, 1636]",dev,2,%5B4840_37321%5D%5B5150_37520%5D%5B0%5D%5B0.3790000081062317%5D.jpg,,,其他正常细胞,
"[2909, 1810, 3444, 2160]",dev,2,%5B4840_37321%5D%5B5150_37520%5D%5B0%5D%5B0.3790000081062317%5D.jpg,,,其他正常细胞,
"[3367, 748, 3840, 1189]",dev,2,%5B4840_37321%5D%5B5150_37520%5D%5B0%5D%5B0.3790000081062317%5D.jpg,,,其他正常细胞,
"[3159, 0, 3815, 432]",dev,2,%5B4840_37321%5D%5B5150_37520%5D%5B0%5D%5B0.3790000081062317%5D.jpg,,,其他正常细胞,
"[701, 0, 1078, 262]",dev,2,%5B4840_37321%5D%5B5150_37520%5D%5B0%5D%5B0.3790000081062317%5D.jpg,,,其他正常细胞,
"[2762, 1494, 2921, 1620]",dev,2,%5B4840_37321%5D%5B5150_37520%5D%5B0%5D%5B0.3790000081062317%5D.jpg,,,不明分类,
"[1545, 877, 1993, 1128]",dev,2,%5B4840_37321%5D%5B5150_37520%5D%5B0%5D%5B0.3790000081062317%5D.jpg,,,细菌性阴道病,
"[1846, 923, 2295, 1302]",dev,2,%5B4840_37321%5D%5B5150_37520%5D%5B0%5D%5B0.3790000081062317%5D.jpg,,,细菌性阴道病,
"[1776, 955, 2053, 1212]",dev,2,%5B29021_22689%5D%5B29163_22809%5D%5B0%5D%5B0.22100000083446503%5D.jpg,,,其他正常细胞,
"[654, 0, 1269, 487]",dev,2,%5B29021_22689%5D%5B29163_22809%5D%5B0%5D%5B0.22100000083446503%5D.jpg,,,其他正常细胞,
"[1713, 812, 2156, 1372]",dev,2,%5B26441_53741%5D%5B26641_53982%5D%5B0%5D%5B0.3070000112056732%5D.jpg,,,ASC-US,
"[2819, 1089, 3419, 1611]",dev,2,%5B26441_53741%5D%5B26641_53982%5D%5B0%5D%5B0.3070000112056732%5D.jpg,,,其他正常细胞,
"[817, 0, 1277, 289]",dev,2,%5B26441_53741%5D%5B26641_53982%5D%5B0%5D%5B0.3070000112056732%5D.jpg,,,其他正常细胞,
